citation,lake,latitude,longitude,biome,method,days_measured,NEP_gO2m2day,GPP_gO2m2day,ER_gO2m2day,sa_km2,depth_max,depth_mean,restime_yr,doc,chla,tn,tp,comments
Bortolotti et al. 2016,Natural wetland,51.078,-102.899,"Temperate Grasslands, Savannas and Shrublands",Bookkeeping,156,0.303,11.103,10.8,0.00413,0.89,0.83,,29.8,8.79,,136,
Bortolotti et al. 2016,Recently restored wetland,51.041,-102.056,"Temperate Grasslands, Savannas and Shrublands",Bookkeeping,154,-2.218,8.223,10.441,0.00267,0.93,0.84,,26.2,56.97,,279,
Bortolotti et al. 2016,Older restored wetland,51.054,-101.722,"Temperate Grasslands, Savannas and Shrublands",Bookkeeping,149,-1.94,15.237,17.177,0.00875,0.96,0.91,,31.3,9.22,,84,
Cavalcanti et al. 2016,Lake Mangueira,-33.175439,-52.82851,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Process based model,na,-0.026,0.494,0.546,820,6.5,2.6,,,,,,Metabolism estimates from process model
Cremona et al. 2016,Antu Sinijarv,59.06,26.24,Temperate Broadleaf and Mixed Forests,BaMM,5,5.19,6.105,0.918,0.02,8,6,,4.72,1,3450,9,
Cremona et al. 2016,Erastvere,57.97,26.78,Temperate Broadleaf and Mixed Forests,BaMM,9,9.24,18.768,9.526,0.16,9.7,3.5,,13,62,990,45,
Cremona et al. 2016,Mullutu,58.25,22.35,Temperate Broadleaf and Mixed Forests,BaMM,6,2.29,5.206,2.918,0.412,1.7,0.5,,18.1,9,1000,60,
Cremona et al. 2016,Peipsi,58.84,26.95,Temperate Broadleaf and Mixed Forests,BaMM,6,2.52,19.995,17.48,2611,12.9,8.3,,12,13.4,473,41,
Cremona et al. 2016,Saadjarv,58.53,26.64,Temperate Broadleaf and Mixed Forests,BaMM,8,2.24,7.593,5.355,7.24,25,8,,10,7.2,390,30,
Cremona et al. 2016,Ulemiste,59.41,24.77,Temperate Broadleaf and Mixed Forests,BaMM,6,4.09,8.696,4.606,9.44,4.2,2.5,,13.7,24.7,723,48,
Cremona et al. 2016,Valguta Mustjarv,58.2,26.14,Temperate Broadleaf and Mixed Forests,BaMM,12,-18.53,6.757,25.288,0.2,1,0.5,,35.2,23,670,242,
Klotz 2013,Timmerman,42.5,-76.183,Temperate Broadleaf and Mixed Forests,Bookkeeping,164,3.683,16.067,12.384,0.00415,1.2,0.44,,,,,,
Klotz 2013,Hoxie Gorge,42.533,-76.05,Temperate Broadleaf and Mixed Forests,Bookkeeping,137,-0.755,4.934,5.686,0.00284,0.98,0.74,,,,,,
Rubbo et al. 2006,Pond 2,41.463,-77.323,Temperate Broadleaf and Mixed Forests,Bookkeeping,4,-3.494,2.587,6.081,0.000106,0.95,0.72,,20.5,5.03,,,"Part of experimental manipulation - these are ""litter control"" where litter was removed, mixed, replaced. Also, amphibian stocking based on size. Area is based on formula length/2*width/2*pi (i.e., area of an ellipse)"
Rubbo et al. 2006,Pond 3,41.463,-77.323,Temperate Broadleaf and Mixed Forests,Bookkeeping,4,-3.376,1.963,5.339,0.000342,0.75,0.64,,20.2,0.54,,,"Part of experimental manipulation - these are ""litter control"" where litter was removed, mixed, replaced. Also, amphibian stocking based on size. Area is based on formula length/2*width/2*pi (i.e., area of an ellipse)"
Rubbo et al. 2006,Pond 9,41.463,-77.323,Temperate Broadleaf and Mixed Forests,Bookkeeping,4,-3.247,2.366,5.612,0.000155,0.83,0.58,,20,1.37,,,"Part of experimental manipulation - these are ""litter control"" where litter was removed, mixed, replaced. Also, amphibian stocking based on size. Area is based on formula length/2*width/2*pi (i.e., area of an ellipse)"
Rubbo et al. 2006,Pond 11,41.463,-77.323,Temperate Broadleaf and Mixed Forests,Bookkeeping,4,-3.416,2.38,5.796,0.000095,0.77,0.53,,18.3,1.79,,,"Part of experimental manipulation - these are ""litter control"" where litter was removed, mixed, replaced. Also, amphibian stocking based on size. Area is based on formula length/2*width/2*pi (i.e., area of an ellipse)"
Sadro et al. 2011,Emerald Lake,36.597,-118.675,Temperate Conifer Forests,Bookkeeping,120,0.234,1.77,1.539,0.027,10,6,0.15,0.8,0.9,,,
Tonetta et al. 2016,Peri Lake,-27.73,-48.52,Tropical and Subtropical Moist Broadleaf Forests,Inverse modelling,,3.443,5.235,1.779,5.07,11,4,,6.5,20.9,900,1.1,"These measures were from surface - note that the authors compared metabolism using DO measured at surface, 1.0, and 5.0 m depths"
Batt et al. 2015,Ward,46.25,-89.517,Temperate Broadleaf and Mixed Forests,,101,0.278,4.41,4.131,0.019,8,4,,9.6,8.63,491,23,"TN, TP, and Chla from Batt et al. 2013"
Brighenti et al. 2015,Carioca Lake,-19.75,-42.6,Tropical and Subtropical Moist Broadleaf Forests,Inverse modelling,196,-0.672,8.454,9.125,0.18,11.8,4.8,,6.68,7.5,389,13,Weighted mean of stratified and mixed periods
Brighenti et al. 2015,Dom Helvecio Lake,-19.76,-42.58,Tropical and Subtropical Moist Broadleaf Forests,Inverse modelling,394,0.898,9.694,8.795,0.53,39.3,11.2,,5.7,4.2,372,7.7,"Env. variables are averages of averages across spring, summer, fall, winter (stratified and mixed periods)"
"Composite (Cremona et al. 2016, Idrizaj et al., Laas et al.)",Vortsjarv,58.12,26.08,Temperate Broadleaf and Mixed Forests,,458,0.092,5.22,5.12,270,6,2.8,1,12.5,51,900,39.67,Water chem is from Solomon et al. 
Composite (Hanson et al. and Lauster et al.),Little Arbor Vitae,45.914,-89.618,Temperate Broadleaf and Mixed Forests,,7,3.05,15,11.68,2.161,9.8,2.56,,3.925,21.95,835.8,105.3,Zmax from WI DNR; TN from Wilkinson et al. 2013
Composite (Hanson et al. and Lauster et al.),Allequash,46.038,-89.62,Temperate Broadleaf and Mixed Forests,,7,-0.409,3.6,4.085,1.684,8,2.5,,4.425,8.3,758,39.8,TN and area from Jones lab database
Composite (Hanson et al. and Lauster et al.),Big Muskellunge,46.021,-89.612,Temperate Broadleaf and Mixed Forests,,7,-1.64,3.22,4.985,3.963,21.3,7.9,,4.2,3.4,,9.4,Chemistry is average of two sites; depth from Wilkinson et al. 2013
Composite (Hanson et al. and Lauster et al.),Muskellunge,45.949,-89.38,Temperate Broadleaf and Mixed Forests,,7,2.101,20.66,18.725,1.077,5.8,,,6.15,46.55,,78.3,Chemistry is average of two sites; Zmax from WI DNR
Composite (Solomon et al. and Hu et al.),Taihu,31.125,120.392,Temperate Broadleaf and Mixed Forests,,380,0.41,3.625,3.215,2338,2.6,1.9,0.9,5.6,46,3600,186,Water chem from Solomon et al. only
