SiteID,SiteName,Date,UpperDepth,LowerDepth,Variable,Value,Unit,MethodID
Site001,3L2,2009-08-13,0.5,0.5,ad.254,19.806279,PerMeter,Method151
Site001,3L2,2009-08-13,0.5,0.5,ad.305,7.937848,PerMeter,Method151
Site001,3L2,2009-08-13,0.5,0.5,ad.320,5.872429,PerMeter,Method151
Site001,3L2,2009-08-13,0.5,0.5,ad.340,3.936025,PerMeter,Method151
Site001,3L2,2009-08-13,0.5,0.5,ad.380,1.834951,PerMeter,Method151
Site001,3L2,2009-08-13,0.5,0.5,ad.440,0.597765,PerMeter,Method151
Site001,3L2,2009-08-13,0.5,0.5,doc,4.5,MilligramsPerLiter,Method108
Site001,3L2,2009-08-13,0.5,0.5,ss275.295,0.021729,PerNanometer,Method151
Site001,3L2,2009-08-13,0.5,0.5,ss280.320,0.021474,PerNanometer,Method151
Site001,3L2,2009-08-13,0.5,0.5,ss320.380,0.019254,PerNanometer,Method151
Site001,3L2,2009-08-13,0.5,0.5,ss320.400,0.019258,PerNanometer,Method151
Site001,3L2,2009-08-13,0.5,0.5,ss350.400,0.019266,PerNanometer,Method151
Site002,Abol,2013-05-14,1,1,ad.254,9.728631,PerMeter,Method151
Site002,Abol,2013-05-14,1,1,ad.305,4.753896,PerMeter,Method151
Site002,Abol,2013-05-14,1,1,ad.320,3.755516,PerMeter,Method151
Site002,Abol,2013-05-14,1,1,ad.340,2.708677,PerMeter,Method151
Site002,Abol,2013-05-14,1,1,ad.380,1.40353,PerMeter,Method151
Site002,Abol,2013-05-14,1,1,ad.440,0.554818,PerMeter,Method151
Site002,Abol,2013-05-14,1,1,doc,1.66,MilligramsPerLiter,Method108
Site002,Abol,2013-05-14,1,1,ss275.295,0.016997,PerNanometer,Method151
Site002,Abol,2013-05-14,1,1,ss280.320,0.016603,PerNanometer,Method151
Site002,Abol,2013-05-14,1,1,ss320.380,0.016431,PerNanometer,Method151
Site002,Abol,2013-05-14,1,1,ss320.400,0.016469,PerNanometer,Method151
Site002,Abol,2013-05-14,1,1,ss350.400,0.016551,PerNanometer,Method151
Site007,Acton_Outflow,2006-05-05,0.5,0.5,temp0.5m,18.7,DegreesCelsius,Method139
