SiteID,SiteName,Latitude,Longitude,Elevation,Country,State
Site001,3L2,42.352,-85.4327,261.936,USA,MI
Site002,Abol,45.8378,-68.9322,193.415,USA,ME
Site007,Acton_Outflow,39.557938,-84.736185,263,USA,OH
Site010,Aguas Calientes,-23.524171,-67.594886,4200,CL,
Site011,Airline,39.027145,-87.234962,151.301,USA,IN
Site012,Albino,45.016527,-109.581146,3045.2568,USA,MT
Site013,Allequash,46.040535,-89.623328,490,USA,WI
Site014,Alta,-45.063437,168.8114798,1787,NZ,
Site015,Alum Creek_Outflow,40.192857,-82.963154,268.843,USA,OH
Site016,Amiskwi,51.58333333,-116.6333333,2088,CAN,
Site018,Anasagunticook,44.428532,-70.324204,120.5,USA,ME
Site019,Anderson,44.647762,-68.059396,75.211,USA,ME
Site020,Annette,51.35,-116.2,1965,CAN,
Site021,Annie,27.995502,-81.60649,35.098,USA,FL
Site022,Appleton,42.51030556,-83.83441667,266.581,USA,MI
Site023,Army Camp,70.515715,-157.353393,30,USA,AK
Site024,Arnica,51.223407,-115.9833333,2152,CAN,
Site025,Atitlan,14.695915,-91.203215,1556,GT,
Site026,Atqasuk,70.50065,-157.42901,30,USA,AK
Site027,Avalanche,48.655609,-113.78606,1191.5,USA,MT
Site029,Baker,51.48333333,-116.0333333,2207,CAN,
Site030,Baker,42.646563,-85.5019,228.969,USA,MI
Site031,Bart,58.2275333,-134.0161575,302,USA,AK
Site032,Bartlett,58.5014273,-135.8037452,25,USA,AK
Site033,Bassett,42.664296,-85.483819,222,USA,MI
Site034,Beartooth,44.945815,-109.594308,2715.768,USA,WY
Site036,Beauty,44.968366,-109.57038,2877.9216,USA,WY
Site037,Beaverdam,39.098201,-87.146061,172.12,USA,IN
Site038,Becker,44.993058,-109.571112,2958.6936,USA,WY
Site039,Benefiel,38.971357,-87.255635,154.041,USA,IN
Site040,Berlin_Outflow,41.044801,-81.003561,311.307,USA,OH
Site041,Big Muskellunge,46.021411,-89.618368,497,USA,WI
Site042,Big Wood,45.63428,-70.371895,380,USA,ME
Site043,Bishop,42.50119444,-83.84,271.324,USA,MI
Site044,Black Canyon,45.070111,-109.533535,2787.396,USA,MT
Site045,Boca,39.40182,-120.094469,1712.312,USA,CA
Site047,Boom,51.25,-116.0833333,1893,CAN,
Site048,Bourgeau,51.13333333,-115.7833333,2174,CAN,
Site049,Bow,51.6712779,-116.460027,1940,CAN,
Site050,Bowman,48.866765,-114.165472,1229.553,USA,MT
Site051,Box,37.414966,-118.75429,3188.142,USA,CA
Site052,Bracey,44.962164,-68.122222,117,USA,ME
Site053,Brandenburg,39.484274,-84.698041,251.92,USA,OH
Site054,Bristol,42.487565,-85.247064,277.574,USA,MI
Site055,Bruce Hills,58.96222466,-136.3164175,30.58,USA,AK
Site056,Bruin,42.41869444,-84.03963889,268.758,USA,MI
Site057,Bubble,44.343165,-68.238085,100.29,USA,ME
Site061,Burr Oak_Outflow,39.54262274,-82.05665611,219.09,USA,OH
Site064,Cantaros,-41.00645,-71.824094,875,AR,
Site065,Canvasback,39.084139,-87.35309,159.056,USA,IN
Site066,Cascade,37.99009,-119.30647,3146.354,USA,CA
Site067,Cascade,38.939315,-120.092337,1978.116,USA,CA
Site068,Castle,41.227388,-122.383295,1658,USA,CA
Site069,Cedar,42.31458333,-84.07938889,270.431,USA,MI
Site070,Celeste,51.51807675,-116.5126839,1980,CAN,
Site071,Chain,44.921311,-109.509743,2875,USA,WY
Site072,Chain Lakes Meadow Pond #2,44.9127,-109.5162,2909,USA,WY
Site073,Chases Pond,43.1944974,-70.668522,47,USA,ME
Site074,Cherry,38.001969,-119.906499,1441.061,USA,CA
Site075,Christmas,44.966344,-109.427608,3079.3944,USA,WY
Site076,Clearfork_Outflow,40.7044962,-82.6280853,366.221,USA,OH
