site_name,year,month,avg_K600,avg_K600.lower,avg_K600.upper
nwis_01184000,2016,1,2.722041518,1.243915414,4.219965337
nwis_01184000,2016,2,3.902344624,2.234954254,5.68307407
nwis_01184000,2016,3,3.968776577,2.418293295,5.544175778
nwis_01184000,2016,4,3.407393144,1.933321118,4.883663351
nwis_01184000,2016,5,2.701624005,1.357988624,4.050720122
nwis_01184000,2016,6,3.208102464,2.160137438,4.256469374
nwis_01184000,2016,7,3.268930166,2.450705538,4.083519024
nwis_01184000,2016,8,3.512926981,2.623963306,4.410888327
nwis_01184000,2016,9,4.713300989,3.569058723,5.866175789
nwis_01184000,2016,10,4.084358082,2.753780881,5.43372392
nwis_01184000,2016,11,2.850296545,1.422861529,4.302442152
nwis_01184000,2016,12,2.846474212,1.357607315,4.355190362
nwis_01388000,2010,1,23.86654363,13.24843444,35.00459044
nwis_01388000,2010,2,28.39563789,17.20707898,40.11171243
nwis_01388000,2010,3,11.59817534,6.196577227,18.23465272
nwis_01388000,2010,4,18.18852372,10.30996486,26.95309082
nwis_01388000,2010,5,18.94423111,11.39156099,27.37603949
nwis_01388000,2010,6,11.33474877,6.38195962,16.40711725
nwis_01388000,2010,7,8.220626396,5.8248854,10.65349254
nwis_01388000,2010,8,8.26693464,5.084404183,11.59262326
nwis_01388000,2010,9,8.461069948,4.614315846,12.44248298
nwis_01388000,2010,10,18.12770162,10.58136723,26.09446184
nwis_01388000,2010,11,24.33644829,14.59768272,34.52735564
nwis_01388000,2010,12,25.7565039,14.91552521,37.32414247
nwis_01388000,2016,1,24.69844603,13.81876658,36.11047102
nwis_01388000,2016,2,18.36866281,9.428766664,28.25587724
nwis_01388000,2016,3,25.18375064,15.5179056,35.37876337
nwis_01388000,2016,4,22.58358948,14.97605039,30.67644613
nwis_01388000,2016,5,24.14874499,14.86868512,33.99016067
nwis_01388000,2016,6,12.53876827,8.127075412,17.07356166
nwis_01388000,2016,7,9.502877303,6.246136766,12.90430292
nwis_01388000,2016,8,15.05891288,9.699391375,20.91538311
nwis_01388000,2016,9,6.714083089,3.99565688,9.443472859
nwis_01388000,2016,10,11.77715689,6.031654041,17.61783728
nwis_01388000,2016,11,21.02299017,10.82364333,31.53899616
nwis_01388000,2016,12,26.05976978,14.27649822,38.15560516
nwis_01400500,2008,1,NA,NA,NA
nwis_01400500,2008,2,NA,NA,NA
nwis_01400500,2008,3,NA,NA,NA
nwis_01400500,2008,4,4.446037792,3.908682418,5.010215024
nwis_01400500,2008,5,4.380676698,3.784388258,4.996684668
nwis_01400500,2008,6,4.824090387,3.981205021,5.672692187
nwis_01400500,2008,7,4.528319629,3.456023563,5.612100335
nwis_01400500,2008,8,5.413346313,4.302297909,6.531749219
nwis_01400500,2008,9,5.341010899,3.907965563,6.78355514
nwis_01400500,2008,10,5.266538709,3.635407156,6.892510898
nwis_01400500,2008,11,4.360825789,2.394554664,6.342568786
nwis_01400500,2008,12,2.974462104,1.130366187,4.953244914
nwis_01400500,2009,1,3.817320492,1.752207093,5.919622449
nwis_01400500,2009,2,3.866714683,2.321518377,5.443727287
nwis_01400500,2009,3,4.726206073,3.608986065,5.851069224
nwis_01400500,2009,4,4.612050636,3.411862121,5.807289011
nwis_01400500,2009,5,3.763064944,2.343404094,5.189625121
nwis_01400500,2009,6,3.367531546,1.793661883,4.975334966
nwis_01400500,2009,7,4.078500045,2.831852929,5.334545744
nwis_01400500,2009,8,3.20458521,2.144334205,4.315247951
nwis_01400500,2009,9,5.602642147,4.269351715,6.917640514
nwis_01400500,2009,10,4.536760409,3.175978487,5.94439904
nwis_01400500,2009,11,4.81537715,3.087511705,6.531844132
nwis_01400500,2009,12,2.891078,1.168259515,4.691574711
nwis_01400500,2010,1,3.360809299,1.531228579,5.267216216
nwis_01400500,2010,2,3.163226796,1.604130473,4.840658099
nwis_01400500,2010,3,1.871711462,0.863022287,3.019486463
nwis_01400500,2010,4,3.406881067,2.475079668,4.357954668
nwis_01400500,2010,5,4.204451927,2.789485523,5.619640031
nwis_01400500,2010,6,4.834724258,3.885181295,5.79086101
nwis_01400500,2010,7,3.95867748,2.913049507,5.001809209
nwis_01400500,2010,8,5.097363585,3.866276655,6.326563072
nwis_01400500,2010,9,5.413611807,4.329532992,6.487059634
nwis_01400500,2010,10,4.212926596,2.556457037,5.876778275
nwis_01400500,2010,11,4.574990975,3.044979293,6.11149739
nwis_01400500,2010,12,3.465287423,1.790963835,5.258926262
nwis_01400500,2011,1,4.408020693,2.253282816,6.503700961
nwis_01400500,2011,2,3.025339827,1.374893822,4.768489593
nwis_01400500,2011,3,2.209405663,0.766790576,3.795405785
nwis_01400500,2011,4,2.59879166,1.520653316,3.734129917
nwis_01400500,2011,5,2.781605386,1.499806787,4.236999965
nwis_01400500,2011,6,4.412850123,3.1137529,5.699367127
nwis_01400500,2011,7,4.312360197,3.304185829,5.31964115
nwis_01400500,2011,8,3.615241466,2.457533451,4.830615528
nwis_01400500,2011,9,2.279133925,1.26604046,3.342721997
nwis_01400500,2011,10,3.361799334,2.267713494,4.473507748
nwis_01400500,2011,11,3.271673984,2.34634312,4.237375853
nwis_01400500,2011,12,2.715966745,1.531109403,3.94605554
nwis_01400500,2012,1,3.751633314,2.459054928,5.071952059
nwis_01400500,2012,2,4.910594561,3.793799722,6.033851141
nwis_01400500,2012,3,5.302005882,4.442440033,6.18905416
nwis_01400500,2012,4,4.047724058,3.295673969,4.801749641
nwis_01400500,2012,5,4.5997491,3.405181372,5.809393621
nwis_01400500,2012,6,4.807020392,3.80628402,5.870883733
nwis_01400500,2012,7,5.028174564,4.075629728,5.982779498
nwis_01400500,2012,8,5.221066422,4.337072779,6.106442333
nwis_01400500,2012,9,6.149305101,5.068504033,7.222543257
nwis_01400500,2012,10,5.208112193,3.711345295,6.710017978
nwis_01400500,2012,11,3.810139755,1.981376729,5.634475203
nwis_01400500,2012,12,3.321769057,1.682215601,5.008037434
nwis_01400500,2013,1,4.147314522,2.125121435,6.208195488
nwis_01400500,2013,2,3.306293852,1.661334599,4.960767204
nwis_01400500,2013,3,2.964515871,1.660325175,4.309028406
nwis_01400500,2013,4,3.552901186,2.586365639,4.561623879
nwis_01400500,2013,5,2.893630855,1.655452771,4.186859114
nwis_01400500,2013,6,2.209396936,1.263082262,3.223448753
nwis_01400500,2013,7,3.224914945,2.192833174,4.26101157
nwis_01400500,2013,8,3.588493978,2.368966721,4.801683991
nwis_01400500,2013,9,3.712433002,2.633399379,4.841513277
nwis_01400500,2013,10,4.268659669,2.987314563,5.533160168
nwis_01400500,2013,11,3.290284776,1.781776152,4.790341229
nwis_01400500,2013,12,3.458622324,1.550996559,5.465634142
nwis_01400500,2014,1,2.995465106,1.023844117,5.114368456
nwis_01400500,2014,2,2.322869545,0.770593035,4.026510763
nwis_01400500,2014,3,1.814720347,0.64346707,3.152713528
nwis_01400500,2014,4,2.34580237,1.266550596,3.497784527
nwis_01400500,2014,5,2.792087093,1.542737316,4.054090862
nwis_01400500,2014,6,3.178370556,2.19205341,4.167006508
nwis_01400500,2014,7,2.957651511,2.214756067,3.755712473
nwis_01400500,2014,8,3.836941479,2.734499282,4.945556373
nwis_01400500,2014,9,4.358313365,3.296771484,5.410597719
nwis_01400500,2014,10,4.020333593,2.59638479,5.455271424
nwis_01400500,2014,11,3.808530738,1.942056776,5.670550891
nwis_01400500,2014,12,3.470421548,1.574471724,5.474203173
nwis_01400500,2015,1,3.319851372,1.420409385,5.321821909
nwis_01400500,2015,2,3.786988577,1.780200377,5.780663358
nwis_01400500,2015,3,2.380296322,0.868934704,4.015014397
nwis_01400500,2015,4,2.674053936,1.753900352,3.618266382
nwis_01400500,2015,5,3.458327539,2.43846284,4.496338462
nwis_01400500,2015,6,3.077368495,1.993119546,4.184235401
nwis_01400500,2015,7,3.775494385,3.032647232,4.519183879
nwis_01400500,2015,8,4.016866773,3.196877641,4.83806667
nwis_01400500,2015,9,4.494966124,3.485087128,5.495827292
nwis_01400500,2015,10,4.657754548,3.197240743,6.120342967
nwis_01400500,2015,11,5.099996715,3.384603848,6.824890705
nwis_01400500,2015,12,3.855759257,2.083744031,5.697278801
nwis_01400500,2016,1,3.712612078,1.766129427,5.662477223
nwis_01400500,2016,2,2.800842343,1.047470388,4.643819972
nwis_01400500,2016,3,3.259034907,2.141451158,4.41504543
nwis_01400500,2016,4,3.071461583,1.985394928,4.159039094
nwis_01400500,2016,5,2.874739153,1.804128177,3.968759303
nwis_01400500,2016,6,4.238299511,3.370287723,5.112304817
nwis_01400500,2016,7,3.440793318,2.682009947,4.226612777
nwis_01400500,2016,8,3.271117245,2.369705139,4.182805895
nwis_01400500,2016,9,4.238992142,3.131414651,5.367680227
nwis_01400500,2016,10,4.314809696,2.884301652,5.744758996
nwis_01400500,2016,11,5.792406468,4.090521706,7.493192661
nwis_01400500,2016,12,4.315055777,2.308770246,6.379894716
nwis_01408500,2013,1,6.23532151,2.963185976,9.537790097
nwis_01408500,2013,2,6.221266219,3.115715547,9.359955804
nwis_01408500,2013,3,5.282506907,2.8952781,7.643516038
nwis_01408500,2013,4,6.303018426,4.480478856,8.115477366
nwis_01408500,2013,5,8.158254686,5.309308595,10.99621468
nwis_01408500,2013,6,4.77128709,2.335725208,7.374353089
nwis_01408500,2013,7,6.44408371,3.718465277,9.27783875
nwis_01408500,2013,8,8.829442744,5.740372524,11.96213349
nwis_01408500,2013,9,8.798734732,5.925820983,11.68465855
nwis_01408500,2013,10,8.723682877,5.823087665,11.64528248
nwis_01408500,2013,11,8.59590457,5.657450249,11.56007379
nwis_01408500,2013,12,8.231702383,4.854747176,11.63025983
nwis_01463500,2008,1,4.250149781,3.09203171,5.423590231
nwis_01463500,2008,2,4.535418903,3.37979944,5.702739156
nwis_01463500,2008,3,4.660223046,3.434794427,5.889324687
nwis_01463500,2008,4,4.153537831,3.280457474,5.026023094
nwis_01463500,2008,5,2.198917541,1.334831978,3.048880925
nwis_01463500,2008,6,1.459581528,0.961327037,1.981710031
nwis_01463500,2008,7,2.073024133,1.462558113,2.68644479
nwis_01463500,2008,8,1.561995747,0.831694421,2.278537831
nwis_01463500,2008,9,1.895112458,1.100591686,2.694107407
nwis_01463500,2008,10,1.733153881,0.902100646,2.604770171
nwis_01463500,2008,11,2.410957452,1.299671539,3.524411196
nwis_01463500,2008,12,3.04190079,1.899238065,4.198084471
nwis_01463500,2009,1,3.674805496,2.492124991,4.85056114
nwis_01463500,2009,2,2.345369554,1.374031414,3.325216684
nwis_01463500,2009,3,3.234244192,2.309809807,4.144522328
nwis_01463500,2009,4,2.687396206,1.870758685,3.501573893
nwis_01463500,2009,5,2.846569227,1.829835538,3.860810494
nwis_01463500,2009,6,4.232410875,3.092193092,5.360555517
nwis_01463500,2009,7,2.509264355,1.810655444,3.21320106
nwis_01463500,2009,8,3.885264645,2.778510422,4.992989989
nwis_01463500,2009,9,1.544452388,0.948237276,2.152455953
nwis_01463500,2009,10,2.538063057,1.686181616,3.385625532
nwis_01463500,2009,11,2.561523503,1.47082501,3.661855789
nwis_01463500,2009,12,4.391769632,3.222566132,5.551830104
nwis_01463500,2010,1,2.780368654,1.662054676,3.902128016
nwis_01463500,2010,2,2.680732612,1.591032488,3.793472295
nwis_01463500,2010,3,3.98319119,2.937783603,5.03483097
nwis_01463500,2010,4,3.37131631,2.401654156,4.330060387
nwis_01463500,2010,5,2.090738272,1.223444821,2.968790888
nwis_01463500,2010,6,1.640643089,1.11324874,2.177214507
nwis_01463500,2010,7,1.655979877,1.106694805,2.214281913
nwis_01463500,2010,8,1.544678626,0.860205852,2.243268915
nwis_01463500,2010,9,0.668045041,0.142372534,1.317356104
nwis_01463500,2010,10,3.477045533,2.313450085,4.641195502
nwis_01463500,2010,11,2.179404913,1.161636189,3.21916025
nwis_01463500,2010,12,3.153841231,1.983937179,4.304560339
nwis_01463500,2012,1,3.619385317,2.452267578,4.769559252
nwis_01463500,2012,2,2.447212658,1.405975235,3.48354086
nwis_01463500,2012,3,2.503460653,1.785404266,3.219987225
nwis_01463500,2012,4,1.848393766,1.120080125,2.582186576
nwis_01463500,2012,5,3.084421593,2.10427796,4.068683983
nwis_01463500,2012,6,2.028930462,1.272303039,2.793937101
nwis_01463500,2012,7,1.652393809,1.060539676,2.267000302
nwis_01463500,2012,8,2.028510125,1.353494616,2.712811153
nwis_01463500,2012,9,2.467455237,1.467354188,3.465990238
nwis_01463500,2012,10,2.757992221,1.608710687,3.907941195
nwis_01463500,2012,11,2.450358187,1.295876825,3.590647774
nwis_01463500,2012,12,2.765427783,1.64116885,3.89321464
nwis_01463500,2013,1,2.925332073,1.769368435,4.095931453
nwis_01463500,2013,2,3.015200011,1.882815802,4.144478803
nwis_01463500,2013,3,3.211614944,2.151943681,4.278838809
nwis_01463500,2013,4,2.520238585,1.562614258,3.471718426
nwis_01463500,2013,5,2.256782527,1.180738196,3.329717476
nwis_01463500,2013,6,3.747321938,2.646552376,4.844734364
nwis_01463500,2013,7,2.792776246,1.922592776,3.665799352
nwis_01463500,2013,8,2.277712471,1.338199082,3.219774984
nwis_01463500,2013,9,1.802533426,0.871482186,2.745553187
nwis_01463500,2013,10,1.517530092,0.677889243,2.367864007
nwis_01463500,2013,11,1.710003486,0.768697974,2.660282633
nwis_01463500,2013,12,2.528763884,1.412784264,3.660780649
nwis_01463500,2015,1,2.387015145,1.259417319,3.529179065
nwis_01463500,2015,2,NA,NA,NA
nwis_01463500,2015,3,3.758846173,2.643775076,4.871659548
nwis_01463500,2015,4,4.216508477,3.105996373,5.338176155
nwis_01463500,2015,5,1.701366915,0.977437673,2.423491833
nwis_01463500,2015,6,2.506764423,1.533487132,3.492121933
nwis_01463500,2015,7,2.748544212,1.820090196,3.662597803
nwis_01463500,2015,8,1.739574208,1.007508823,2.464308004
nwis_01463500,2015,9,2.107381922,1.403422916,2.819640787
nwis_01463500,2015,10,2.089120059,1.091473881,3.106063708
nwis_01463500,2015,11,2.188490054,1.073540006,3.322544324
nwis_01463500,2015,12,2.756893179,1.597565955,3.912808505
nwis_01463500,2016,1,3.299733399,2.163580503,4.452040139
nwis_01463500,2016,2,3.767220673,2.597403224,4.942686512
nwis_01463500,2016,3,2.474195488,1.50703271,3.434468243
nwis_01463500,2016,4,1.709667955,0.901938876,2.527846487
nwis_01463500,2016,5,2.40612353,1.380104266,3.428060635
nwis_01463500,2016,6,1.947980356,1.196310461,2.697942789
nwis_01463500,2016,7,2.27392888,1.747585414,2.818967657
nwis_01463500,2016,8,1.691411122,1.016428167,2.360483321
nwis_01463500,2016,9,1.702617786,0.996641208,2.417230845
nwis_01463500,2016,10,1.531430747,0.680163378,2.405108262
nwis_01463500,2016,11,0.746180008,0.13171585,1.56806377
