"Reference","pubyr","Lat","Long","Date","yr","Mon","CO2_uatm","siteNo"
"Abril2014Nature",2014,-3.58,-61.07,"1/1/2011",2011,"Jan",2286,359
"Abril2014Nature",2014,-3.58,-61.07,"5/1/2008",2008,"May",5726,359
"Abril2014Nature",2014,-3.58,-61.07,"6/1/2009",2009,"Jun",9131,359
"Abril2014Nature",2014,-3.58,-61.07,"8/1/2010",2010,"Aug",4790,359
"Abril2014Nature",2014,-3.58,-61.07,"11/1/2007",2007,"Nov",2199,359
"Abril2014Nature",2014,-3.58,-61.07,"10/1/2008",2008,"Oct",2486,359
"Abril2014Nature",2014,-3.58,-61.07,"10/1/2009",2009,"Oct",5348,359
"Abril2014Nature",2014,-3.15,-60.84,"1/1/2011",2011,"Jan",3885,449
"Abril2014Nature",2014,-3.15,-60.84,"5/1/2008",2008,"May",6602,449
"Abril2014Nature",2014,-3.15,-60.84,"6/1/2009",2009,"Jun",10563,449
"Abril2014Nature",2014,-3.15,-60.84,"8/1/2010",2010,"Aug",7607,449
"Abril2014Nature",2014,-3.15,-60.84,"10/1/2009",2009,"Oct",10718,449
"Abril2014Nature",2014,-2.93,-60.53,"1/1/2011",2011,"Jan",2842,535
"Abril2014Nature",2014,-2.93,-60.53,"5/1/2008",2008,"May",4798,535
"Abril2014Nature",2014,-2.93,-60.53,"6/1/2009",2009,"Jun",5342,535
"Abril2014Nature",2014,-2.93,-60.53,"8/1/2010",2010,"Aug",5116,535
"Abril2014Nature",2014,-2.93,-60.53,"11/1/2007",2007,"Nov",1996,535
"Abril2014Nature",2014,-2.93,-60.53,"10/1/2008",2008,"Oct",2852,535
"Abril2014Nature",2014,-2.93,-60.53,"10/1/2009",2009,"Oct",3944,535
"Abril2014Nature",2014,-1.57,-52.78,"1/1/2007",2007,"Jan",3009,779
"Abril2014Nature",2014,-1.57,-52.78,"2/1/2011",2011,"Feb",2555,779
"Abril2014Nature",2014,-1.57,-52.78,"6/1/2009",2009,"Jun",6055,779
"Abril2014Nature",2014,-1.57,-52.78,"9/1/2010",2010,"Sep",4515,779
"Abril2014Nature",2014,-1.57,-52.78,"11/1/2007",2007,"Nov",2091,779
"Abril2014Nature",2014,-1.57,-52.78,"10/1/2008",2008,"Oct",2768,779
"Abril2014Nature",2014,-1.57,-52.78,"10/1/2009",2009,"Oct",4018,779
"Abril2014Nature",2014,-4.33,-59.72,"2/1/2011",2011,"Feb",2660,307
"Abril2014Nature",2014,-4.33,-59.72,"6/1/2009",2009,"Jun",3880,307
"Abril2014Nature",2014,-4.33,-59.72,"9/1/2010",2010,"Sep",1290,307
"Abril2014Nature",2014,-4.33,-59.72,"11/1/2007",2007,"Nov",1381,307
"Abril2014Nature",2014,-4.33,-59.72,"10/1/2008",2008,"Oct",1373,307
"Abril2014Nature",2014,-4.33,-59.72,"10/1/2009",2009,"Oct",1954,307
"Abril2014Nature",2014,-3.09,-58.89,"2/1/2011",2011,"Feb",3416,465
"Abril2014Nature",2014,-3.09,-58.89,"6/1/2009",2009,"Jun",5869,465
"Abril2014Nature",2014,-3.09,-58.89,"9/1/2010",2010,"Sep",2446,465
"Abril2014Nature",2014,-3.09,-58.89,"10/1/2009",2009,"Oct",1420,465
"Abril2014Nature",2014,-3.56,-55.37,"1/1/2007",2007,"Jan",413,363
"Abril2014Nature",2014,-3.56,-55.37,"2/1/2011",2011,"Feb",1042,363
"Abril2014Nature",2014,-3.56,-55.37,"6/1/2009",2009,"Jun",1209,363
"Abril2014Nature",2014,-3.56,-55.37,"9/1/2010",2010,"Sep",530,363
"Abril2014Nature",2014,-3.56,-55.37,"10/1/2009",2009,"Oct",618,363
"Alin2011JGR",2011,-3.342386,-55.273298,"6/17/2004",2004,"Jun",425,406
"Alin2011JGR",2011,-2.366754,-54.707537,"6/18/2004",2004,"Jun",3958,710
"Alin2011JGR",2011,-2.366754,-54.707537,"6/19/2004",2004,"Jun",6037,710
"Alin2011JGR",2011,-3.342386,-55.273298,"6/19/2004",2004,"Jun",425,406
"Alin2011JGR",2011,-3.342386,-55.273298,"6/19/2004",2004,"Jun",425,406
"Alin2011JGR",2011,11.564547,104.948097,"9/11/2004",2004,"Sep",1597,1084
"Alin2011JGR",2011,12.472688,106.013985,"9/25/2004",2004,"Sep",1475,1086
"Alin2011JGR",2011,19.907094,102.15505,"10/2/2004",2004,"Oct",1055,1092
"Alin2011JGR",2011,19.896211,102.145741,"10/2/2004",2004,"Oct",1018,1091
"Alin2011JGR",2011,11.744895,104.996022,"10/6/2005",2005,"Oct",945,1085
"Alin2011JGR",2011,12.621157,104.052679,"10/11/2005",2005,"Oct",1404,1087
"Alin2011JGR",2011,11.744895,104.996022,"10/12/2005",2005,"Oct",1257,1085
"Alin2011JGR",2011,17.96929,102.557939,"10/15/2005",2005,"Oct",703,1088
"Alin2011JGR",2011,17.96929,102.557939,"10/15/2005",2005,"Oct",703,1088
"Alin2011JGR",2011,17.96929,102.557939,"10/15/2005",2005,"Oct",703,1088
"Alin2011JGR",2011,-10.066,-67.606,"7/1/2004",2004,"Jul",141,242
"Alin2011JGR",2011,-10.066,-67.606,"7/1/2004",2004,"Jul",141,242
"Alin2011JGR",2011,-10.066,-67.606,"7/1/2004",2004,"Jul",141,242
"Alin2011JGR",2011,-10.066,-67.606,"7/1/2004",2004,"Jul",141,242
"Alin2011JGR",2011,-10.066,-67.606,"7/1/2004",2004,"Jul",141,242
"Alin2011JGR",2011,-9.751,-67.672,"7/2/2004",2004,"Jul",860,245
"Alin2011JGR",2011,-9.751,-67.672,"7/2/2004",2004,"Jul",860,245
"Alin2011JGR",2011,-9.751,-67.672,"7/2/2004",2004,"Jul",860,245
"Alin2011JGR",2011,-9.751,-67.672,"7/2/2004",2004,"Jul",860,245
"Alin2011JGR",2011,-9.751,-67.672,"7/2/2004",2004,"Jul",860,245
"Alin2011JGR",2011,-9.751,-67.672,"7/2/2004",2004,"Jul",860,245
"Alin2011JGR",2011,-9.016,-68.584,"7/5/2004",2004,"Jul",414,247
"Alin2011JGR",2011,-9.016,-68.584,"7/5/2004",2004,"Jul",414,247
"Alin2011JGR",2011,-9.016,-68.584,"7/5/2004",2004,"Jul",414,247
"Alin2011JGR",2011,-9.016,-68.584,"7/5/2004",2004,"Jul",414,247
"Alin2011JGR",2011,-9.016,-68.584,"7/5/2004",2004,"Jul",414,247
"Alin2011JGR",2011,-9.029,-68.593,"7/5/2004",2004,"Jul",141,246
"Alin2011JGR",2011,-9.029,-68.593,"7/5/2004",2004,"Jul",141,246
"Alin2011JGR",2011,-3.063,-60.272,"7/14/2004",2004,"Jul",5665,489
"Alin2011JGR",2011,-3.063,-60.272,"7/14/2004",2004,"Jul",5665,489
"Alin2011JGR",2011,-3.063,-60.272,"7/14/2004",2004,"Jul",5665,489
"Alin2011JGR",2011,-3.063,-60.272,"7/14/2004",2004,"Jul",5665,489
"Alin2011JGR",2011,-3.063,-60.272,"7/14/2004",2004,"Jul",5665,489
"Alin2011JGR",2011,-2.454,-54.482,"7/18/2004",2004,"Jul",3958,676
"Alin2011JGR",2011,-2.454,-54.482,"7/18/2004",2004,"Jul",3958,676
"Alin2011JGR",2011,-3.058,-60.288,"7/18/2004",2004,"Jul",5343,492
"Alin2011JGR",2011,-3.058,-60.288,"7/18/2004",2004,"Jul",5343,492
"Alin2011JGR",2011,-3.058,-60.288,"7/18/2004",2004,"Jul",4836,492
"Alin2011JGR",2011,-2.462,-54.63,"7/19/2004",2004,"Jul",6037,670
"Alin2011JGR",2011,-2.93,-59.974,"7/20/2004",2004,"Jul",7548,536
"Alin2011JGR",2011,-2.93,-59.974,"7/20/2004",2004,"Jul",7548,536
"Alin2011JGR",2011,-3.253,-60.012,"7/22/2004",2004,"Jul",4247,428
"Alin2011JGR",2011,-3.253,-60.012,"7/22/2004",2004,"Jul",4247,428
"Alin2011JGR",2011,-3.253,-60.012,"7/22/2004",2004,"Jul",4247,428
"Alin2011JGR",2011,-3.253,-60.012,"7/22/2004",2004,"Jul",4247,428
"Alin2011JGR",2011,-2.376,-54.849,"8/10/2004",2004,"Aug",936,708
"Alin2011JGR",2011,-2.376,-54.849,"8/11/2004",2004,"Aug",503,708
"Alin2011JGR",2011,-2.376,-54.849,"8/11/2004",2004,"Aug",394,708
"Alin2011JGR",2011,-2.461,-54.57,"8/12/2004",2004,"Aug",3923,672
"Alin2011JGR",2011,-2.461,-54.57,"8/12/2004",2004,"Aug",3923,672
"Alin2011JGR",2011,-2.314,-54.596,"8/13/2004",2004,"Aug",3711,712
"Alin2011JGR",2011,-2.314,-54.596,"8/13/2004",2004,"Aug",3711,712
"Alin2011JGR",2011,-2.489,-55.014,"8/14/2004",2004,"Aug",565,660
"Alin2011JGR",2011,-2.489,-55.014,"8/14/2004",2004,"Aug",565,660
"Alin2011JGR",2011,-2.489,-55.014,"8/14/2004",2004,"Aug",683,660
"Alin2011JGR",2011,-2.489,-55.014,"8/14/2004",2004,"Aug",683,660
"Alin2011JGR",2011,-2.489,-55.014,"8/15/2004",2004,"Aug",767,660
"Alin2011JGR",2011,-2.489,-55.014,"8/15/2004",2004,"Aug",767,660
"Alin2011JGR",2011,-2.489,-55.014,"8/15/2004",2004,"Aug",813,660
"Alin2011JGR",2011,-2.489,-55.014,"8/15/2004",2004,"Aug",813,660
"Alin2011JGR",2011,-2.489,-55.014,"8/15/2004",2004,"Aug",619,660
"Alin2011JGR",2011,-2.489,-55.014,"8/15/2004",2004,"Aug",619,660
"Alin2011JGR",2011,-2.489,-55.014,"8/15/2004",2004,"Aug",619,660
"Alin2011JGR",2011,-2.376,-54.849,"8/16/2004",2004,"Aug",507,708
"Alin2011JGR",2011,-2.376,-54.849,"8/16/2004",2004,"Aug",507,708
"Alin2011JGR",2011,-2.088,-55.343,"8/17/2004",2004,"Aug",3394,743
"Alin2011JGR",2011,-2.088,-55.343,"8/17/2004",2004,"Aug",3394,743
"Alin2011JGR",2011,-2.088,-55.343,"8/17/2004",2004,"Aug",3169,743
"Alin2011JGR",2011,-2.088,-55.343,"8/17/2004",2004,"Aug",3169,743
"Alin2011JGR",2011,-2.088,-55.343,"8/18/2004",2004,"Aug",4175,743
"Alin2011JGR",2011,-2.088,-55.343,"8/18/2004",2004,"Aug",4175,743
"Alin2011JGR",2011,-2.088,-55.343,"8/18/2004",2004,"Aug",3929,743
"Alin2011JGR",2011,-2.088,-55.343,"8/18/2004",2004,"Aug",3929,743
"Alin2011JGR",2011,-2.088,-55.343,"8/18/2004",2004,"Aug",3698,743
"Alin2011JGR",2011,-2.088,-55.343,"8/18/2004",2004,"Aug",3698,743
"Alin2011JGR",2011,-1.788,-51.417,"8/23/2004",2004,"Aug",616,764
"Alin2011JGR",2011,-1.788,-51.417,"8/23/2004",2004,"Aug",616,764
"Alin2011JGR",2011,-1.788,-51.417,"8/23/2004",2004,"Aug",616,764
"Alin2011JGR",2011,-1.788,-51.417,"8/23/2004",2004,"Aug",616,764
"Alin2011JGR",2011,-1.729,-51.456,"8/23/2004",2004,"Aug",6607,770
"Alin2011JGR",2011,-1.729,-51.456,"8/23/2004",2004,"Aug",6607,770
"Alin2011JGR",2011,-1.729,-51.456,"8/23/2004",2004,"Aug",6607,770
"Alin2011JGR",2011,-1.729,-51.456,"8/23/2004",2004,"Aug",6607,770
"Alin2011JGR",2011,-1.707,-51.474,"8/23/2004",2004,"Aug",5937,773
"Alin2011JGR",2011,-1.707,-51.474,"8/23/2004",2004,"Aug",5937,773
"Alin2011JGR",2011,-1.788,-51.417,"8/24/2004",2004,"Aug",2525,764
"Alin2011JGR",2011,-1.788,-51.417,"8/24/2004",2004,"Aug",2525,764
"Alin2011JGR",2011,-1.788,-51.417,"8/24/2004",2004,"Aug",2525,764
"Alin2011JGR",2011,-1.778,-51.471,"8/24/2004",2004,"Aug",4283,765
"Alin2011JGR",2011,-1.778,-51.471,"8/24/2004",2004,"Aug",4283,765
"Alin2011JGR",2011,-1.778,-51.471,"8/24/2004",2004,"Aug",4283,765
"Alin2011JGR",2011,-1.196,-61.289,"3/1/2005",2005,"Mar",3185,800
"Alin2011JGR",2011,-1.196,-61.289,"3/1/2005",2005,"Mar",3185,800
"Alin2011JGR",2011,-1.196,-61.289,"3/1/2005",2005,"Mar",3185,800
"Alin2011JGR",2011,-1.196,-61.289,"3/1/2005",2005,"Mar",3185,800
"Alin2011JGR",2011,-0.39,-64.6,"3/4/2005",2005,"Mar",5666,854
"Alin2011JGR",2011,-0.39,-64.6,"3/4/2005",2005,"Mar",5666,854
"Alin2011JGR",2011,-0.39,-64.6,"3/4/2005",2005,"Mar",5666,854
"Alin2011JGR",2011,-0.39,-64.6,"3/4/2005",2005,"Mar",5666,854
"Alin2011JGR",2011,-0.42,-64.604,"3/4/2005",2005,"Mar",5757,847
"Alin2011JGR",2011,-0.42,-64.604,"3/4/2005",2005,"Mar",5757,847
"Alin2011JGR",2011,-0.42,-64.604,"3/4/2005",2005,"Mar",5757,847
"Alin2011JGR",2011,-0.437,-64.607,"3/4/2005",2005,"Mar",3276,842
"Alin2011JGR",2011,-0.437,-64.607,"3/4/2005",2005,"Mar",3276,842
"Alin2011JGR",2011,-0.437,-64.607,"3/4/2005",2005,"Mar",3276,842
"Alin2011JGR",2011,-0.437,-64.607,"3/4/2005",2005,"Mar",3276,842
"Alin2011JGR",2011,-0.473,-64.62,"3/4/2005",2005,"Mar",3345,838
"Alin2011JGR",2011,-0.473,-64.62,"3/4/2005",2005,"Mar",3345,838
"Alin2011JGR",2011,-0.473,-64.62,"3/4/2005",2005,"Mar",3345,838
"Alin2011JGR",2011,-0.402,-65.211,"3/5/2005",2005,"Mar",2423,851
"Alin2011JGR",2011,-0.402,-65.211,"3/5/2005",2005,"Mar",2423,851
"Alin2011JGR",2011,-0.402,-65.211,"3/5/2005",2005,"Mar",2423,851
"Alin2011JGR",2011,-0.402,-65.211,"3/5/2005",2005,"Mar",2423,851
"Alin2011JGR",2011,-0.405,-65.227,"3/5/2005",2005,"Mar",2477,850
"Alin2011JGR",2011,-0.405,-65.227,"3/5/2005",2005,"Mar",2477,850
"Alin2011JGR",2011,-0.405,-65.227,"3/5/2005",2005,"Mar",2477,850
"Alin2011JGR",2011,-0.405,-65.227,"3/5/2005",2005,"Mar",2477,850
"Alin2011JGR",2011,-0.42,-65.232,"3/5/2005",2005,"Mar",3318,846
"Alin2011JGR",2011,-0.42,-65.232,"3/5/2005",2005,"Mar",3318,846
"Alin2011JGR",2011,-0.42,-65.232,"3/5/2005",2005,"Mar",3318,846
"Alin2011JGR",2011,-0.42,-65.232,"3/5/2005",2005,"Mar",3318,846
"Alin2011JGR",2011,-0.366,-66.569,"3/7/2005",2005,"Mar",2807,856
"Alin2011JGR",2011,-0.366,-66.569,"3/7/2005",2005,"Mar",2807,856
"Alin2011JGR",2011,-0.366,-66.569,"3/7/2005",2005,"Mar",2807,856
"Alin2011JGR",2011,-0.366,-66.569,"3/7/2005",2005,"Mar",2807,856
"Alin2011JGR",2011,-0.361,-66.563,"3/7/2005",2005,"Mar",3781,857
