"","Stream Name","Reference(s)","Year Published","Journal","Country","Region","Latitude","Longitude","Elevation","Annual Rainfall","Date of Measurement","Forest","Ag","Urb","CanopyBinary","Canopy Cover","PAR","Width","Depth","Velocity","Slope","Watershed Area","Discharge","Temperature","DO","pH","Conductivity","NO3","NH4","DIN","TN","TP","SRP","TN:TP","DIN:SRP","Chl-a","k600","GPP","ER","NEP","GPP:ER","site","region.x","start_date","end_date","requested_variables","year","run_finished","model","method","engine","rm_flagged","used_rating_curve","pool","proc_err","obs_err","proc_acor","ode_method","deficit_src","interv","fillgaps","estimate_areal_depth","O2_GOF","GPP_95CI","ER_95CI","prop_pos_ER","prop_neg_GPP","ER_K600_cor","coverage","kmax","current_best","region.y","siteName","dataSource","USGSgageID","addDate","embargoYears","contact","contactEmail","firstRecord","lastRecord","variableList","grabVarList","embargoDaysRemaining"
"1",NA,NA,NA,NA,NA,NA,NA,NA,"m above sea level","mm","M-YYYY","%","%","%","Closed or Open","%","umol m-2 d-1","m","m","m s-1","m m-1","km2","m3 s-1","° C","mg L-1","units","µS cm-1","µg L-1","µg L-1","µg L-1","µg L-1","µg L-1","µg L-1","unitless","unitless","µg L-1 or µg m-2","d-1","g O2 m-2 d-1","g O2 m-2 d-1","g O2 m-2 d-1","unitless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Taconazo","Marzolf et al. in prep","in prep","for Freshwater Biology","Costa Rica","Central America",10.432,-84.013,"30","4200","Apr-13","100","0","0","Closed",NA,"1029.4271","1.3",NA,"0.01","0.0024","0.27","0.001","24.4","6","4.23","24.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.8","0.406","-8.526","-8.12","0.047619048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Taconazo","Marzolf et al. in prep","in prep","for Freshwater Biology","Costa Rica","Central America",11.432,-84.013,"30","4200","May-13","100","0","0","Closed",NA,"1034.0271","1.3",NA,"0.01","0.0024","0.27","0.001","25",NA,"5.86","32.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.8","0.256","-8.204","-7.948","0.031204291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Taconazo","Marzolf et al. in prep","in prep","for Freshwater Biology","Costa Rica","Central America",12.432,-84.013,"30","4200","Jun-13","100","0","0","Closed",NA,"1038.6271","1.3",NA,"0.01","0.0024","0.27","0.001","24.8",NA,"5.68","22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.8","0.336","-9.068","-8.732","0.037053375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Taconazo","Marzolf et al. in prep","in prep","for Freshwater Biology","Costa Rica","Central America",13.432,-84.013,"30","4200","Jul-13","100","0","0","Closed",NA,"1043.2271","1.3",NA,"0.01","0.0024","0.27","0.001","24",NA,"5.47","18.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.8","0.189","-7.822","-7.633","0.024162618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Taconazo","Marzolf et al. in prep","in prep","for Freshwater Biology","Costa Rica","Central America",14.432,-84.013,"30","4200","Aug-13","100","0","0","Closed",NA,"1047.8271","1.3",NA,"0.01","0.0024","0.27","0.001","24.6",NA,"5.46","17.8","164.8","58.93",NA,NA,NA,"1.81",NA,NA,NA,"12.8","0.299","-7.87","-7.571","0.037992376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Taconazo","Marzolf et al. in prep","in prep","for Freshwater Biology","Costa Rica","Central America",15.432,-84.013,"30","4200","Sep-13","100","0","0","Closed",NA,"1052.4271","1.3",NA,"0.01","0.0024","0.27","0.001","24.9",NA,"5.63","26.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.8","0.314","-7.423","-7.109","0.042300956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Upstream Mitchell River","Hunt et al. 2012","2012","Freshwater Biology","Australia","Oceania",-16.562,144.891,"359","1000","Jun-08",NA,NA,NA,"Open","25","1098.82776","32","0.99",NA,NA,"2574","27.2","23.1",NA,"6.61","61.6",NA,NA,"6","167.2","14","5","11.9","1.2","0.89","0.2269654","2.12","-4.47","-2.35","0.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Middle Mitchell River","Hunt et al. 2012","2012","Freshwater Biology","Australia","Oceania",-16.516,143.626,"131","1000","Jun-08",NA,NA,NA,"Open","8","1080.6504","44","1.3",NA,NA,"20315","115.6","25.06",NA,"6.87","162.9",NA,NA,"8","287.5","14.75","5","19.5","1.6","1.7","0.075037683","2.28","-4.41","-2.13","0.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Downstream Mitchell River","Hunt et al. 2012","2012","Freshwater Biology","Australia","Oceania",-15.946,142.946,"49","1000","Jun-08",NA,NA,NA,"Open","9","1088.8844","105","2.6",NA,NA,"45872","226.2","26.53",NA,"7.89","162.4",NA,NA,"3","167.5","11.5","5.5","14.6","0.6","1.89","0.564105752","4.11","-17.37","-13.26","0.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
