"regionID","siteID","dateTimeUTC","variable","value","method","writeInMethod","methodDetail","flagID","flagComment"
"NC","Stony","2016-07-11 17:30:00","Br","6.2575097e-8","IC","","filtered 0.7um","Below Detection Limit",""
"NC","Stony","2016-07-11 17:30:00","Ca","4.0865201e-4","IC","","filtered 0.7um","",""
"NC","Stony","2016-07-11 17:30:00","Cl","2.95367e-4","IC","","filtered 0.7um","",""
"NC","Stony","2016-07-11 17:30:00","K","3.4795299e-5","IC","","filtered 0.7um","",""
"NC","Stony","2016-07-11 17:30:00","Mg","1.84473e-4","IC","","filtered 0.7um","",""
"NC","Stony","2016-07-11 17:30:00","NO3","1.7087799e-5","IC","","filtered 0.7um","",""
"NC","Stony","2016-07-11 17:30:00","Na","3.1332899e-4","IC","","filtered 0.7um","",""
"NC","Stony","2016-07-11 17:30:00","SO4","4.96045e-5","IC","","filtered 0.7um","",""
"NC","Stony","2016-07-11 17:30:00","TN","0.4722000062","TOC-TN","","filtered 0.7um","",""
"NC","Stony","2016-07-11 17:30:00","TOC","8.4180002213","TOC-TN","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","Br","6.2575097e-8","IC","","filtered 0.7um","Below Detection Limit",""
"NC","Eno","2016-07-11 21:00:00","Ca","3.0447901e-4","IC","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","Cl","1.64438e-4","IC","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","K","4.0164301e-5","IC","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","Mg","1.4942e-4","IC","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","NH4","3.5126e-6","FIA","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","NO3","2.8280299e-5","IC","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","Na","2.3115501e-4","IC","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","PO4","4.2939601e-7","FIA","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","SO4","4.1604901e-5","IC","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","TN","0.6359999776","TOC-TN","","filtered 0.7um","",""
"NC","Eno","2016-07-11 21:00:00","TOC","5.8379998207","TOC-TN","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","Br","6.2575097e-8","IC","","filtered 0.7um","Below Detection Limit",""
"NC","Eno","2016-08-04 15:30:00","Ca","2.23023e-4","IC","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","Cl","1.23558e-4","IC","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","K","4.4821001e-5","IC","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","Mg","1.14024e-4","IC","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","NH4","3.4269301e-6","FIA","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","NO3","1.45874e-5","IC","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","Na","1.91053e-4","IC","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","PO4","1.61427e-7","FIA","","filtered 0.7um","Below Detection Limit",""
"NC","Eno","2016-08-04 15:30:00","SO4","3.3950899e-5","IC","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","TN","0.518599987","TOC-TN","","filtered 0.7um","",""
"NC","Eno","2016-08-04 15:30:00","TOC","9.5679998398","TOC-TN","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","Br","6.2575097e-8","IC","","filtered 0.7um","Below Detection Limit",""
"NC","UEno","2016-08-04 16:15:00","Ca","2.10899e-4","IC","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","Cl","1.03083e-4","IC","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","K","2.73116e-5","IC","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","Mg","9.8905497e-5","IC","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","NH4","2.8914701e-6","FIA","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","NO3","1.21564e-5","IC","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","Na","1.74448e-4","IC","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","PO4","1.61427e-7","FIA","","filtered 0.7um","Below Detection Limit",""
"NC","UEno","2016-08-04 16:15:00","SO4","1.11083e-5","IC","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","TN","0.4920000136","TOC-TN","","filtered 0.7um","",""
"NC","UEno","2016-08-04 16:15:00","TOC","5.4159998894","TOC-TN","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","Br","6.2575097e-8","IC","","filtered 0.7um","Below Detection Limit",""
"NC","Mud","2016-08-08 16:00:00","Ca","2.8929301e-4","IC","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","Cl","1.89339e-4","IC","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","K","3.0806899e-5","IC","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","Mg","1.4025399e-4","IC","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","NH4","2.4488299e-6","FIA","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","NO3","1.05887e-5","IC","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","Na","2.6568101e-4","IC","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","PO4","5.1979498e-7","FIA","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","SO4","4.01166e-5","IC","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","TN","0.47299999","TOC-TN","","filtered 0.7um","",""
"NC","Mud","2016-08-08 16:00:00","TOC","10","TOC-TN","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","Br","6.2575097e-8","IC","","filtered 0.7um","Below Detection Limit",""
"NC","UNHC","2016-08-08 16:40:00","Ca","2.8897601e-4","IC","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","Cl","1.2425199e-4","IC","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","K","3.5715701e-5","IC","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","Mg","7.4727599e-5","IC","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","NH4","1.74916e-6","FIA","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","NO3","1.22159e-5","IC","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","Na","2.25567e-4","IC","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","PO4","3.58368e-7","FIA","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","SO4","2.08929e-5","IC","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","TN","0.2806000113","TOC-TN","","filtered 0.7um","",""
"NC","UNHC","2016-08-08 16:40:00","TOC","10.889550209","TOC-TN","","filtered 0.7um","",""
"NC","Stony","2016-08-08 17:30:00","Br","6.2575097e-8","IC","","filtered 0.7um","Below Detection Limit",""
"NC","Stony","2016-08-08 17:30:00","Ca","3.18487e-4","IC","","filtered 0.7um","",""
"NC","Stony","2016-08-08 17:30:00","Cl","1.3710601e-4","IC","","filtered 0.7um","",""
