region,site,start_date,end_date,requested_variables,year,run_finished,model,method,engine,rm_flagged,used_rating_curve,pool,proc_err,obs_err,proc_acor,ode_method,deficit_src,interv,fillgaps,estimate_areal_depth,O2_GOF,GPP_95CI,ER_95CI,prop_pos_ER,prop_neg_GPP,ER_K600_cor,coverage,kmax,current_best
AZ,LV,1/9/18 00:00,3/28/18 00:00,all,2018,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.132032499,0.578384638,0.781646669,0,0,-0.459301412,78,10.96922588,0
AZ,MV,1/3/18 00:00,4/4/18 00:00,all,2018,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.086090379,0.293122649,1.019264102,0.043478262,0.217391297,-0.074737318,91,11.71923351,0
AZ,OC,12/31/16 00:00,12/3/17 00:00,all,2017,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.073601186,0.43744418,1.262004256,0.470414192,0.251479298,0.25503397,337,217.3084869,0
AZ,SC,2/7/17 00:00,3/28/17 00:00,all,2017,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.247298777,0.425450206,0.795814097,0.140000001,0.140000001,0.347747922,49,59.27777863,0
AZ,WB,8/3/17 00:00,12/27/17 00:00,all,2017,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.068615228,0.18311587,0.701295734,0.006802721,0.10204082,-0.804954231,146,31.44885445,0
AZ,WB,1/3/18 00:00,5/8/18 00:00,all,2018,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.093944393,0.385253668,1.174071074,0.023809524,0.206349209,-0.279289097,125,46.71047974,0
CT,BUNN,5/19/15 00:00,12/30/15 00:00,all,2015,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.06796059,0.077418894,0.58346808,0.101769909,0.548672557,-0.638642967,225,64.6236496,0
CT,BUNN,12/31/15 00:00,11/15/16 00:00,all,2016,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.060869005,0.101443715,0.787185013,0.165109038,0.361370713,-0.59561038,320,67.73497009,0
CT,FARM,5/19/15 00:00,12/30/15 00:00,all,2015,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.208423436,0.539778411,2.36970973,0.991150439,0.03539823,0.91178,225,1.81010139,0
CT,FARM,12/31/15 00:00,11/11/16 00:00,all,2016,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.352358282,0.859019816,1.824878097,0.96214509,0.091482647,0.981308758,316,2.031145573,0
CT,HUBB,5/19/15 00:00,12/30/15 00:00,all,2015,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.063091084,0.251637697,0.57935369,0.17699115,0.132743359,-0.661668003,225,89.08190155,0
CT,HUBB,12/31/15 00:00,11/11/16 00:00,all,2016,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.1640618,0.399444431,0.809515834,0.012618297,0.091482647,-0.751476467,316,166.3295136,0
CT,STIL,5/19/15 00:00,12/30/15 00:00,all,2015,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.141858444,0.87602663,1.101969719,0.066371679,0.092920356,-0.30762881,225,47.82834625,0
CT,STIL,12/31/15 00:00,11/15/16 00:00,all,2016,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.226849914,1.063316941,1.84598577,0.077881619,0.155763239,0.085407525,320,74.14093781,0
CT,Unio,5/19/15 00:00,12/30/15 00:00,all,2015,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.313969404,0.729262292,7.403167725,0.991150439,0.017699115,0.951621711,225,4.549827099,0
CT,Unio,12/31/15 00:00,11/11/16 00:00,all,2016,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.391002297,1.041707158,6.485601425,0.968454242,0.047318611,0.742027223,316,4.141616821,0
FL,NR1000,9/1/16 00:00,12/30/16 00:00,all,2016,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.221035957,0.290232539,3.923553467,0.008264463,0.702479363,-0.807340622,120,14.57008648,0
FL,NR1000,12/31/16 00:00,5/15/17 00:00,all,2017,7/6/18 00:12,streamMetabolizer,bayes,stan,"Bad Data,Questionable",0,binned,1,1,0,trapezoid,DO-mod,15 min,interpolation,1,0.213087961,0.325729787,4.135009766,0,0.426470578,-0.543959796,135,12.91818237,0
