e.g. NC_MudCreek,YYYY-MM-DD,Discharge value for rating curve (cubic meters per second),Water level for rating curve (meters),Average (or effective) depth value for rating curve (meters),"Method by which average depth was esimated (e.g. salt slug, cross-sections, etc)",Distance upstream of dissolved oxygen sensor over which reach length was estimated (meters),Any notes about the measurement
siteID,date,discharge_cms,water_level_m,average_depth_m,average_depth_method,reach_length_upstream_m,notes
MI_PILG1,2014-08-06,0.314314031,1.432490094,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2014-08-27,0.348293926,1.441633648,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2014-10-15,0.869318986,1.581834806,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2014-11-19,0.775874274,1.572691253,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2015-01-08,0.597479824,1.575739104,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2015-03-24,1.177969701,1.658031088,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2015-04-14,4.558969277,2.04815605,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2015-05-12,1.554580207,1.731179518,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2015-07-13,0.484213507,1.487351417,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2015-08-03,0.308650715,1.426394392,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2015-10-29,0.710746142,1.597074063,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
MI_PILG1,2015-10-29,0.722072774,1.597074063,,,,"Measured by USGS at site 4043016. NOTE: new sensor station installed in 2020 and water level reference point changes. Create two rating curves, one for 2014-2018, and another for measurements taken from 2020 onwards."
